Judul Produk,Link Gambar,Harga,Harga Coret,Deskripsi,Status,Berat,Label
Orang-Orang Malang,https://lh3.googleusercontent.com/d/1poq5gQZWrjDPDEb3pR0DbtBp_vnlTXpJ,Rp3.500,Rp15.000,"Orang-Orang Malang adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Filsafat Perempuan dalam Islam,https://lh3.googleusercontent.com/d/1cDMbTtipy-QwanBG86ePSnmTBjzG3i_f,Rp3.500,Rp15.000,"Filsafat Perempuan dalam Islam adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Seni Hidup Minimalis: Petunjuk Minimalis Menuju Hidup yang Apik,https://lh3.googleusercontent.com/d/1TJc3d2llaSIlpdSV8WzB8dwLKHKDSy95,Rp3.500,Rp15.000,"Seni Hidup Minimalis: Petunjuk Minimalis Menuju Hidup yang Apik adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Cinta di Rumah Hasan Al Banna,https://lh3.googleusercontent.com/d/19u-5TsXKDJAAaGt4FTGwNO7N9d70z6kz,Rp3.500,Rp15.000,"Cinta di Rumah Hasan Al Banna adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Terjemahan Kitab Firasat,https://lh3.googleusercontent.com/d/1eXGY5dfRfkGT_JByIXjNUAxokr0ZRVUU,Rp3.500,Rp15.000,"Terjemahan Kitab Firasat adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Cerita Cinta Indonesia - 45 Penulis GPU,https://lh3.googleusercontent.com/d/1DmYwTLI8N2X20TttmQev8Bi1-N7WF9U8,Rp3.500,Rp15.000,"Cerita Cinta Indonesia - 45 Penulis GPU adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Secrets of Divine Love Bahasa Indonesia,https://lh3.googleusercontent.com/d/1PkuV7-zwLsjZd7LLtbweEBiqnnJKKvUA,Rp3.500,Rp15.000,"Secrets of Divine Love Bahasa Indonesia adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Berbaik Sangka kepada Allah,https://lh3.googleusercontent.com/d/11IVdDV184bkf1w2L66RwN719f_CBzEgn,Rp3.500,Rp15.000,"Berbaik Sangka kepada Allah adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Ayatullah Muhammad Baqir Al-Sadr: Falsafatuna,https://lh3.googleusercontent.com/d/17-DYgysUayy8oRM-82PYoKpwLxTfWmlA,Rp3.500,Rp15.000,"Ayatullah Muhammad Baqir Al-Sadr: Falsafatuna adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
Mengenal Kecemasan dan Serangan Panik by Mind Inggris Joko Adi Pamungkas,https://lh3.googleusercontent.com/d/1sz-3IHtsBC6HHyAJpFkp1P3wGihLh0Nl,Rp3.500,Rp15.000,"Mengenal Kecemasan dan Serangan Panik by Mind Inggris Joko Adi Pamungkas adalah bagian dari koleksi buku pilihan yang relevan untuk pembaca masa kini. Buku ini mengangkat tema yang bermakna dan penuh wawasan, cocok untuk kamu yang ingin bertumbuh secara intelektual maupun spiritual. Baik kamu Gen Z atau milenial, buku ini bisa jadi teman diskusi batin maupun inspirasi harianmu. Temukan pengalaman membaca yang reflektif, praktis, dan menyentuh—semuanya dari genggaman tanganmu. Yuk, mulai petualangan barumu lewat halaman-halaman penuh makna ini!",on,500,EBOOK
